tracking_id,Gene_symbol,PairingNumber
ENSG00000278782,AC136616.3,172
ENSG00000278782,AC136616.3,173
ENSG00000278782,AC136616.3,174
ENSG00000278782,AC136616.3,175
ENSG00000223335,RNU6-603P,176
ENSG00000199814,RNU6-1260P,177
ENSG00000206888,RNU6-48P,178
ENSG00000277717,U6,179
ENSG00000278099,U1,180
ENSG00000252383,RNU6-314P,181
ENSG00000252449,RNU6-139P,182
ENSG00000252185,RNU6-752P,183
ENSG00000207303,Y_RNA,184
ENSG00000251994,RNU2-27P,185
ENSG00000251994,RNU2-27P,186
ENSG00000251994,RNU2-27P,187
ENSG00000283249,U6,188
ENSG00000276027,RNU12,189
ENSG00000222791,RNU6-67P,190
ENSG00000252930,RNU6-1015P,191
ENSG00000206715,RNU6-444P,192
ENSG00000206715,RNU6-444P,193
ENSG00000199633,SNORA63,194
ENSG00000199633,SNORA63,195
ENSG00000199633,SNORA63,196
ENSG00000253015,RN7SKP64,197
ENSG00000200152,RNU6-216P,198
ENSG00000286094,AC026740.3,199
ENSG00000252321,RN7SKP83,200
ENSG00000207181,SNORA14B,201
ENSG00000277948,AC007435.2,202
ENSG00000200528,RNU6-1331P,203
ENSG00000201827,AC022296.1,204
ENSG00000201827,AC022296.1,205
ENSG00000201827,AC022296.1,206
ENSG00000201827,AC022296.1,207
ENSG00000201827,AC022296.1,208
ENSG00000253053,RN7SKP289,209
ENSG00000200536,AL137790.1,210
ENSG00000200536,AL137790.1,211
ENSG00000200536,AL137790.1,212
ENSG00000200536,AL137790.1,213
ENSG00000200536,AL137790.1,214
ENSG00000200536,AL137790.1,215
ENSG00000200536,AL137790.1,216
ENSG00000200536,AL137790.1,217
ENSG00000200536,AL137790.1,218
ENSG00000199075,MIR26A1,219
ENSG00000208017,MIR140,220
ENSG00000264346,SNORA77B,221
ENSG00000201524,RNU6-450P,222
ENSG00000201524,RNU6-450P,223
ENSG00000277968,AC091825.2,224
ENSG00000212496,RNU6-1093P,225
ENSG00000252462,RNU6-113P,226
ENSG00000199368,RNU6-1084P,227
ENSG00000252943,RNU6-264P,228
ENSG00000199197,RN7SKP72,229
ENSG00000199203,Y_RNA,230
ENSG00000276642,AL445423.2,231
ENSG00000222164,RN7SKP266,232
ENSG00000277418,RNA5SP531,233
ENSG00000207264,RNU6-15P,234
ENSG00000199043,MIR335,235
ENSG00000201770,RNU6-384P,236
ENSG00000276314,SNORD107,237
ENSG00000206745,RNU6-643P,238
ENSG00000252906,SCARNA3,239
ENSG00000252906,SCARNA3,240
ENSG00000252906,SCARNA3,241
ENSG00000252906,SCARNA3,242
ENSG00000252906,SCARNA3,243
ENSG00000252906,SCARNA3,244
ENSG00000252068,RNU6-390P,245
ENSG00000238423,SNORD42B,246
ENSG00000272015,SNORA62,247
ENSG00000200799,RNU6-770P,248
ENSG00000201592,AL732366.1,249
ENSG00000206785,SNORA15B-2,250
ENSG00000212257,RNU6-1176P,251
ENSG00000281159,AC112786.1,252
ENSG00000201201,RN7SKP118,253
ENSG00000201675,SNORD32A,254
ENSG00000278551,RNU6-368P,255
ENSG00000200917,RNU6-553P,256
ENSG00000283551,SNORD98,257
ENSG00000206908,RNU1-136P,258
ENSG00000201410,AC107024.1,259
ENSG00000201157,SNORA62,260
ENSG00000222356,RNU6-710P,261
ENSG00000212443,SNORA53,262
ENSG00000201198,RNU6-879P,263
ENSG00000200789,RNU1-65P,264
ENSG00000208012,MIRLET7F2,265
ENSG00000212534,SNORD70,266
ENSG00000201847,SNORD31B,267
ENSG00000206885,SNORA75,268
ENSG00000206885,SNORA75,269
ENSG00000201431,RNU6-1277P,270
ENSG00000200360,RNU6-792P,271
ENSG00000207033,RNU6-154P,272
ENSG00000252561,RNU1-125P,273
ENSG00000239190,RNU6-717P,274
ENSG00000207439,Y_RNA,275
ENSG00000223224,SNORD71,276
ENSG00000252385,RNU6-68P,277
ENSG00000201003,AL049745.1,278
ENSG00000207169,RNU6-24P,279
ENSG00000200563,RNU6-640P,280
ENSG00000207191,SNORD116-5,281
ENSG00000277234,RNU1-5P,282
ENSG00000206832,RNU6V,283
ENSG00000212595,RNA5SP525,284
ENSG00000212595,RNA5SP525,285
ENSG00000207993,MIR134,286
ENSG00000212378,AC092630.1,287
ENSG00000212380,SNORD115-45,288
ENSG00000252139,AC090227.1,289
ENSG00000252139,AC090227.1,290
ENSG00000207442,SNORD116-6,291
ENSG00000207638,MIR99A,292
ENSG00000253086,RNU6-537P,293
ENSG00000199744,SNORD36A,294
ENSG00000284464,MIR1306,295
ENSG00000207019,RNU6-167P,296
ENSG00000207019,RNU6-167P,297
ENSG00000281000,SNORD3D,298
ENSG00000199158,MIR96,299
ENSG00000206737,RNVU1-18,300
ENSG00000209702,SNORD41,301
ENSG00000212567,AC008810.1,302
ENSG00000252130,RNU6-1045P,303
ENSG00000253089,RNU1-104P,304
ENSG00000202534,RNU6-1329P,305
ENSG00000222895,RNU6-1133P,306
ENSG00000222895,RNU6-1133P,307
ENSG00000222895,RNU6-1133P,308
ENSG00000283545,U6,309
ENSG00000252712,SCARNA14,310
ENSG00000252712,SCARNA14,311
ENSG00000252712,SCARNA14,312
ENSG00000201129,SNORA58B,313
ENSG00000221500,SNORD100,314
ENSG00000271923,RNU6-86P,315
ENSG00000222704,RN7SKP182,316
ENSG00000207562,MIR34C,317
ENSG00000274792,AC171558.1,318
ENSG00000274792,AC171558.1,319
ENSG00000284536,MIR17,320
ENSG00000212298,RNU6-1009P,321
ENSG00000206913,AP000577.1,322
ENSG00000252558,RNU6-914P,323
ENSG00000202374,SNORA62,324
ENSG00000206685,RNU6-1189P,325
ENSG00000202283,AL591387.1,326
ENSG00000202283,AL591387.1,327
ENSG00000202283,AL591387.1,328
ENSG00000202283,AL591387.1,329
ENSG00000202283,AL591387.1,330
ENSG00000200295,RNU6-527P,331
ENSG00000201899,SNORD114-24,332
ENSG00000206910,SNORA29,333
ENSG00000275942,Z99774.2,334
ENSG00000201403,SNORD14B,335
ENSG00000207445,SNORD15B,336
ENSG00000207333,RNU6-680P,337
ENSG00000207333,RNU6-680P,338
ENSG00000284214,MIR29C,339
ENSG00000199094,MIR30C2,340
ENSG00000273537,AC009951.1,341
ENSG00000207501,RNVU1-14,342
ENSG00000207150,RNU6-185P,343
ENSG00000222514,RN7SKP223,344
ENSG00000212605,RNU1-56P,345
ENSG00000222852,Y_RNA,346
ENSG00000222685,RN7SKP119,347
ENSG00000200048,RNU6-812P,348
ENSG00000283170,MIR382,349
ENSG00000252061,RNU6-415P,350
ENSG00000252763,RNU2-31P,351
ENSG00000200620,AC112497.1,352
ENSG00000200072,AL138691.1,353
ENSG00000222162,RN7SKP151,354
ENSG00000275043,SNORD25,355
ENSG00000263776,SNORA4,356
ENSG00000275266,AC051649.3,357
ENSG00000273544,SNORA44,358
ENSG00000200553,Y_RNA,359
ENSG00000252213,SNORA74D,360
ENSG00000200597,RNU1-87P,361
ENSG00000200597,RNU1-87P,362
ENSG00000206892,RNU6-42P,363
ENSG00000238882,RNU6-329P,364
ENSG00000276871,5_8S_rRNA,365
ENSG00000276871,5_8S_rRNA,366
ENSG00000199248,RNU6-28P,367
ENSG00000251869,SCARNA23,368
ENSG00000206698,RNU1-73P,369
ENSG00000206698,RNU1-73P,370
ENSG00000206698,RNU1-73P,371
ENSG00000212366,RNU6-1246P,372
ENSG00000199905,RNU6-492P,373
ENSG00000199905,RNU6-492P,374
ENSG00000199905,RNU6-492P,375
ENSG00000212309,SNORD70B,376
ENSG00000265033,RN7SL262P,377
ENSG00000212158,SNORD66,378
ENSG00000283666,U6,379
ENSG00000252704,RN7SKP277,380
ENSG00000252704,RN7SKP277,381
ENSG00000252704,RN7SKP277,382
ENSG00000212226,RNU6-907P,383
ENSG00000252982,RN7SKP234,384
ENSG00000252982,RN7SKP234,385
ENSG00000252982,RN7SKP234,386
ENSG00000281394,SCARNA4,387
ENSG00000273974,AC004386.3,388
ENSG00000252443,SNORA62,389
ENSG00000212452,SNORD69,390
ENSG00000199266,SNORA60,391
ENSG00000201566,Y_RNA,392
ENSG00000207204,RNU6-393P,393
ENSG00000223287,RNU6-954P,394
ENSG00000284567,MIR223,395
ENSG00000207613,MIR181C,396
ENSG00000207053,RNU6-937P,397
ENSG00000207053,RNU6-937P,398
ENSG00000252126,RNU6-313P,399
ENSG00000252126,RNU6-313P,400
ENSG00000263529,RN7SL122P,401
ENSG00000272020,RNU1-30P,402
ENSG00000206767,RNU6-949P,403
ENSG00000206767,RNU6-949P,404
ENSG00000207698,MIR32,405
ENSG00000252827,RN7SKP11,406
ENSG00000200106,RNU6-984P,407
ENSG00000207456,RNU6-997P,408
ENSG00000199790,RNU6-836P,409
ENSG00000284459,MIR24-1,410
ENSG00000275090,RN7SL296P,411
ENSG00000200763,RNU6-961P,412
ENSG00000202354,RNY3,413
ENSG00000221527,RNU6ATAC41P,414
ENSG00000206996,RNU6-842P,415
ENSG00000252157,RNU6-479P,416
ENSG00000281311,AC025362.1,417
ENSG00000281311,AC025362.1,418
ENSG00000281311,AC025362.1,419
ENSG00000199179,MIRLET7I,420
ENSG00000284447,MIR9-2,421
ENSG00000223075,RN7SKP126,422
ENSG00000200469,RNU6-112P,423
ENSG00000200869,RNU6-457P,424
ENSG00000276365,MIR145,425
ENSG00000274210,U1,426
ENSG00000207581,MIR199B,427
ENSG00000283990,MIRLET7A3,428
ENSG00000212580,SNORA75,429
ENSG00000199593,SNORD114-14,430
ENSG00000273701,AC109486.2,431
ENSG00000238516,Y_RNA,432
ENSG00000202293,SNORD114-22,433
ENSG00000252484,RN7SKP49,434
ENSG00000199092,MIR410,435
ENSG00000271818,RN7SKP4,436
ENSG00000277370,SNORD49A,437
ENSG00000284202,MIR137,438
ENSG00000200047,RN7SKP115,439
ENSG00000283736,MIR484,440
ENSG00000251759,RN7SKP298,441
ENSG00000201512,SNORA71C,442
ENSG00000212207,RNU6-1321P,443
ENSG00000212207,RNU6-1321P,444
ENSG00000199482,RNU6-633P,445
ENSG00000207003,RNU6-611P,446
ENSG00000275502,AL359751.1,447
ENSG00000199664,RNU6-1266P,448
ENSG00000221479,MIR1251,449
ENSG00000215991,MIR208B,450
ENSG00000206708,RNU6-1227P,451
ENSG00000199890,Y_RNA,452
ENSG00000252016,AL024493.2,453
ENSG00000284508,MIR133A2,454
ENSG00000212461,AC078860.1,455
ENSG00000212461,AC078860.1,456
ENSG00000212461,AC078860.1,457
ENSG00000212461,AC078860.1,458
ENSG00000206772,RNU6-44P,459
ENSG00000221656,MIR1225,460
ENSG00000207138,RNU6-869P,461
ENSG00000200570,RNU6-829P,462
ENSG00000274491,AL132655.4,463
ENSG00000252023,RNU6-581P,464
ENSG00000251958,RNU6-1102P,465
ENSG00000284191,MIR671,466
ENSG00000199031,MIR371A,467
ENSG00000199031,MIR371A,468
ENSG00000272055,RNU6-6P,469
ENSG00000277859,AC009014.4,470
ENSG00000222982,RN7SKP216,471
ENSG00000273885,AP003499.2,472
ENSG00000252105,RNU1-143P,473
ENSG00000239195,SNORD5,474
ENSG00000199151,MIR337,475
ENSG00000252549,RNU6-759P,476
ENSG00000252549,RNU6-759P,477
ENSG00000252814,RN7SKP233,478
ENSG00000199361,RNU1-150P,479
ENSG00000199361,RNU1-150P,480
ENSG00000251754,RNU6-999P,481
ENSG00000200867,RN7SKP36,482
ENSG00000200867,RN7SKP36,483
ENSG00000200867,RN7SKP36,484
ENSG00000200867,RN7SKP36,485
ENSG00000238300,SNORD121B,486
ENSG00000201009,AC009365.2,487
ENSG00000200156,RNU5B-1,488
ENSG00000252386,RNU6-1018P,489
ENSG00000275634,AC109486.3,490
ENSG00000252756,RNU6-577P,491
ENSG00000202317,RNU1-84P,492
ENSG00000239189,RNU6-634P,493
ENSG00000207295,RNU6-851P,494
ENSG00000207295,RNU6-851P,495
ENSG00000283797,MIR29B1,496
ENSG00000222976,RN7SKP94,497
ENSG00000207114,RNU6-348P,498
ENSG00000207309,RNU4-70P,499
ENSG00000222376,RN7SKP152,500
ENSG00000200857,Y_RNA,501
ENSG00000202183,AL109931.1,502
ENSG00000202183,AL109931.1,503
ENSG00000202183,AL109931.1,504
ENSG00000202183,AL109931.1,505
ENSG00000202183,AL109931.1,506
ENSG00000202183,AL109931.1,507
ENSG00000201133,AC004830.1,508
ENSG00000201133,AC004830.1,509
ENSG00000201133,AC004830.1,510
ENSG00000201133,AC004830.1,511
ENSG00000201133,AC004830.1,512
ENSG00000201133,AC004830.1,513
ENSG00000284107,MIR19B2,514
ENSG00000238554,RNU1-88P,515
ENSG00000251776,RN7SKP242,516
ENSG00000223191,RNU6-293P,517
ENSG00000206593,RNU6-47P,518
ENSG00000206593,RNU6-47P,519
ENSG00000206593,RNU6-47P,520
ENSG00000206618,RNU6-1264P,521
ENSG00000278072,AC108713.1,522
ENSG00000272296,SNORD96A,523
ENSG00000223282,RN7SKP165,524
ENSG00000238551,RNU6-1193P,525
ENSG00000212102,MIR301B,526
ENSG00000201687,RNU6-1107P,527
ENSG00000201687,RNU6-1107P,528
ENSG00000207443,RNU6-417P,529
ENSG00000283442,U4,530
ENSG00000200800,RNU1-130P,531
ENSG00000200800,RNU1-130P,532
ENSG00000199102,MIR302C,533
ENSG00000202503,SNORD34,534
ENSG00000207001,SNORD116-2,535
ENSG00000199940,RN7SKP75,536
ENSG00000199940,RN7SKP75,537
ENSG00000278625,U6,538
ENSG00000253001,RN7SKP105,539
ENSG00000253001,RN7SKP105,540
ENSG00000253001,RN7SKP105,541
ENSG00000201329,U3,542
ENSG00000207691,MIR183,543
ENSG00000252689,AC011749.1,544
ENSG00000200320,SNORA63,545
ENSG00000281859,SNORD38B,546
ENSG00000207935,MIR204,547
ENSG00000254341,SNORD87,548
ENSG00000207206,RNU6-1035P,549
ENSG00000199337,RNA5S3,550
ENSG00000252898,RNU6-1096P,551
ENSG00000201909,RNU6-590P,552
ENSG00000207523,SNORA66,553
ENSG00000275146,AP003499.3,554
ENSG00000223269,RN7SKP53,555
ENSG00000206755,SNORA30,556
ENSG00000206755,SNORA30,557
ENSG00000211538,MIR501,558
ENSG00000222224,Y_RNA,559
ENSG00000277826,AL157858.2,560
ENSG00000199598,RNU6-859P,561
ENSG00000199405,SNORA1B,562
ENSG00000275529,SNORD116-4,563
ENSG00000239122,RNU2-11P,564
ENSG00000239122,RNU2-11P,565
ENSG00000208024,MIR199A2,566
ENSG00000254172,RNU5A-3P,567
ENSG00000201458,RNU4-4P,568
ENSG00000207026,RNU6-472P,569
ENSG00000200959,SNORA74A,570
ENSG00000207975,MIR181B1,571
ENSG00000265706,SNORD53B,572
ENSG00000201502,AC126172.1,573
ENSG00000206932,RNU6-4P,574
ENSG00000252097,RNU6-346P,575
ENSG00000252097,RNU6-346P,576
ENSG00000252097,RNU6-346P,577
ENSG00000199640,RN7SKP294,578
ENSG00000200612,SNORD114-25,579
ENSG00000283815,MIR18A,580
ENSG00000238835,SCARNA18,581
ENSG00000253094,SNORD36,582
ENSG00000207503,AP001610.1,583
ENSG00000207503,AP001610.1,584
ENSG00000207503,AP001610.1,585
ENSG00000273767,AL731566.1,586
ENSG00000200732,RNU6-194P,587
ENSG00000278391,AC007241.1,588
ENSG00000278391,AC007241.1,589
ENSG00000278391,AC007241.1,590
ENSG00000206703,RNU6-128P,591
ENSG00000201882,AL732366.2,592
ENSG00000284353,MIR142,593
ENSG00000284353,MIR142,594
ENSG00000252074,RNU6-416P,595
ENSG00000277492,AL627390.2,596
ENSG00000207980,MIR23A,597
ENSG00000201742,RNU6-563P,598
ENSG00000251954,RNU6-496P,599
ENSG00000206803,RNU6-968P,600
ENSG00000206814,Y_RNA,601
ENSG00000199914,SNORD114-16,602
ENSG00000199914,SNORD114-16,603
ENSG00000199914,SNORD114-16,604
ENSG00000199914,SNORD114-16,605
ENSG00000199914,SNORD114-16,606
ENSG00000222678,RN7SKP213,607
ENSG00000206965,RNU6-5P,608
ENSG00000206965,RNU6-5P,609
ENSG00000273966,AC015978.1,610
ENSG00000273966,AC015978.1,611
ENSG00000273966,AC015978.1,612
ENSG00000207932,MIR33A,613
ENSG00000200745,RNU1-31P,614
ENSG00000200745,RNU1-31P,615
ENSG00000200745,RNU1-31P,616
ENSG00000212324,RNU6-129P,617
ENSG00000222986,RNU5A-5P,618
ENSG00000222986,RNU5A-5P,619
ENSG00000199824,RNU6-199P,620
ENSG00000276185,AC005045.2,621
ENSG00000200394,SNORA38B,622
ENSG00000207304,SNORA8,623
ENSG00000207304,SNORA8,624
ENSG00000252328,Vault,625
ENSG00000252328,Vault,626
ENSG00000272337,RNU6-90P,627
ENSG00000272337,RNU6-90P,628
ENSG00000283935,MIR423,629
ENSG00000276057,AC004542.4,630
ENSG00000252039,RNU6-287P,631
ENSG00000251814,RN7SKP18,632
ENSG00000251814,RN7SKP18,633
ENSG00000251814,RN7SKP18,634
ENSG00000207296,RNU6-140P,635
ENSG00000202497,RNU6-898P,636
ENSG00000201042,AC087863.1,637
ENSG00000221300,AC025750.2,638
ENSG00000221300,AC025750.2,639
ENSG00000202444,RNU5E-6P,640
ENSG00000202444,RNU5E-6P,641
ENSG00000202444,RNU5E-6P,642
ENSG00000200463,SNORD118,643
ENSG00000200463,SNORD118,644
ENSG00000238961,SNORA47,645
ENSG00000212297,RNU6-821P,646
ENSG00000263740,RN7SL4P,647
ENSG00000253085,AL359771.2,648
ENSG00000207023,RNU6-975P,649
ENSG00000199424,Y_RNA,650
ENSG00000276730,AL138834.1,651
ENSG00000252797,RN7SKP272,652
ENSG00000252797,RN7SKP272,653
ENSG00000252797,RN7SKP272,654
ENSG00000222145,SNORA73,655
ENSG00000222145,SNORA73,656
ENSG00000277460,AL031591.2,657
ENSG00000206599,RNU6-841P,658
ENSG00000207692,MIR592,659
ENSG00000212550,RNU1-78P,660
ENSG00000212550,RNU1-78P,661
ENSG00000251809,RN7SKP14,662
ENSG00000251809,RN7SKP14,663
ENSG00000251809,RN7SKP14,664
ENSG00000222784,RN7SKP91,665
ENSG00000199196,AL160394.1,666
ENSG00000201316,AC090919.1,667
ENSG00000207962,MIR30C1,668
ENSG00000274663,RNA5SP526,669
ENSG00000222202,RNU4-26P,670
ENSG00000284203,MIR29B2,671
ENSG00000200703,RNU6-873P,672
ENSG00000283165,MIR203B,673
ENSG00000200879,SNORD14E,674
ENSG00000252729,RNU6-971P,675
ENSG00000200437,RNU6-799P,676
ENSG00000264294,SNORD55,677
ENSG00000201324,RNU6-361P,678
ENSG00000207105,Y_RNA,679
ENSG00000243426,RN7SL454P,680
ENSG00000207410,AC007448.1,681
ENSG00000207410,AC007448.1,682
ENSG00000202400,SNORD82,683
ENSG00000207759,MIR181A1,684
ENSG00000207744,MIR10B,685
ENSG00000200201,Y_RNA,686
ENSG00000207811,MIR34B,687
ENSG00000199032,MIR425,688
ENSG00000201242,RNY1P1,689
ENSG00000251796,SNORA70,690
ENSG00000251796,SNORA70,691
ENSG00000251796,SNORA70,692
ENSG00000251796,SNORA70,693
ENSG00000251796,SNORA70,694
ENSG00000251796,SNORA70,695
ENSG00000251796,SNORA70,696
ENSG00000251796,SNORA70,697
ENSG00000251796,SNORA70,698
ENSG00000251796,SNORA70,699
ENSG00000251796,SNORA70,700
ENSG00000251796,SNORA70,701
ENSG00000251796,SNORA70,702
ENSG00000251796,SNORA70,703
ENSG00000251796,SNORA70,704
ENSG00000251796,SNORA70,705
ENSG00000251796,SNORA70,706
ENSG00000251796,SNORA70,707
ENSG00000251796,SNORA70,708
ENSG00000264994,SNORD92,709
ENSG00000264501,RN7SL731P,710
ENSG00000252835,SCARNA21,711
ENSG00000202415,RN7SKP269,712
ENSG00000252498,RNU6-1016P,713
ENSG00000252498,RNU6-1016P,714
ENSG00000278234,U2,715
ENSG00000252544,RNU6-1282P,716
ENSG00000207397,RNU6-1179P,717
ENSG00000252008,RNU6-927P,718
ENSG00000238793,SNORD124,719
ENSG00000275538,RNVU1-19,720
ENSG00000212533,SNORA75,721
ENSG00000276859,AL132655.7,722
ENSG00000239075,RNU6-274P,723
ENSG00000239075,RNU6-274P,724
ENSG00000206633,SNORA80B,725
ENSG00000238833,RNU1-131P,726
ENSG00000238833,RNU1-131P,727
ENSG00000201176,RNU6-853P,728
ENSG00000276532,Metazoa_SRP,729
ENSG00000207225,RNU6-692P,730
ENSG00000212345,RNU6-700P,731
ENSG00000212345,RNU6-700P,732
ENSG00000212345,RNU6-700P,733
ENSG00000278817,AC007325.4,734
ENSG00000201296,RNU4-41P,735
ENSG00000199713,U8,736
ENSG00000252719,AL356785.1,737
ENSG00000252719,AL356785.1,738
ENSG00000252719,AL356785.1,739
ENSG00000252719,AL356785.1,740
ENSG00000274266,SNORA73A,741
ENSG00000251897,RNU6-916P,742
ENSG00000199986,RNU6-486P,743
ENSG00000199986,RNU6-486P,744
ENSG00000223168,RN7SKP142,745
ENSG00000253090,SNORA73,746
ENSG00000238363,SNORA13,747
ENSG00000238363,SNORA13,748
ENSG00000221638,U3,749
ENSG00000206952,SNORA50A,750
ENSG00000253065,AC008705.1,751
ENSG00000212304,SNORD12,752
ENSG00000222755,RN7SKP206,753
ENSG00000201794,RN7SKP130,754
ENSG00000201136,RNU6-353P,755
ENSG00000253005,RNU6-176P,756
ENSG00000222845,RN7SKP42,757
ENSG00000222845,RN7SKP42,758
ENSG00000201474,RNU6-164P,759
ENSG00000202341,RNU6-1051P,760
ENSG00000202341,RNU6-1051P,761
ENSG00000202341,RNU6-1051P,762
ENSG00000252271,RNU6-1110P,763
ENSG00000202296,RNU6-1335P,764
